iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
197	0.9047265306	0.1837625765	0.7358712043	0.9994302385	0.9229924506	0.9994273907	0.9176013324	0.7574256474	0.9987814866
198	0.9047355102	0.1837566964	0.7358811693	0.9994302385	0.9229924506	0.9994273907	0.9176013324	0.7574751652	0.9987814866
199	0.9047522449	0.1837543622	0.736094671	0.9994302385	0.9229924506	0.9994273907	0.9176013324	0.7574036021	0.9987800615
200	0.9047518367	0.1837498597	0.7361038024	0.9994316656	0.9229924506	0.9994273907	0.9176013324	0.7573921906	0.9987800615
201	0.9047522449	0.1837289286	0.7360765721	0.9994302385	0.9229924506	0.9994273907	0.9176013324	0.7574189295	0.9987800615
202	0.904757551	0.1836916199	0.7360554219	0.9994302385	0.9229886402	0.9994273907	0.9176013324	0.7574710955	0.9987843368
203	0.9047661224	0.1836858929	0.7367497315	0.9994302385	0.9229886402	0.9994273907	0.9176013324	0.7569361473	0.9987843368
204	0.9047706122	0.1836760714	0.7367750975	0.9994302385	0.9229886402	0.9994273907	0.9176013324	0.7569435937	0.9987843368
205	0.9048167347	0.1836215051	0.7370217726	0.99943452	0.9229886402	0.9994273907	0.917617414	0.7570012641	0.9988000131
206	0.9048195918	0.1835948087	0.737002226	0.9994288113	0.9229899103	0.9994273907	0.917617414	0.7570346566	0.9988071389
207	0.9048379592	0.1835573597	0.7370795338	0.9994273842	0.9229899103	0.9994273907	0.917617414	0.7570869936	0.9988099892
208	0.9049612245	0.1834889541	0.7378970891	0.9994288113	0.9229899103	0.9994273907	0.917617414	0.7571854195	0.9988099892
209	0.9049612245	0.1834877168	0.7377997609	0.9994288113	0.9229899103	0.9994273907	0.917617414	0.7572690825	0.9988099892
210	0.904982449	0.1834545408	0.7380173718	0.9994288113	0.9229899103	0.9994273907	0.917617414	0.7572131428	0.9988199656
211	0.9049787755	0.1834471429	0.7380126387	0.9994288113	0.9229913924	0.9994273907	0.917617414	0.7571916925	0.9988199656
212	0.904977551	0.1834461735	0.73801713	0.9994288113	0.9229913924	0.9994273907	0.917617414	0.7571798542	0.9988199656
213	0.9049971429	0.1834266709	0.7375320197	0.9994288113	0.9229913924	0.9994273907	0.917617414	0.7577231476	0.9988199656
